problem_id,user_handler,rating,topics,attempts,solved,topicsSkill,creationTime
347-A,FraLotito,1300,"constructive algorithms;implementation;sortings",8,false,0,1379697018
347-C,FraLotito,1600,"games;math;number theory",1,false,0,1379692366
349-A,FraLotito,1100,"greedy;implementation",1,false,0,1380296233
349-B,FraLotito,1700,"data structures;dp;greedy;implementation",5,false,0,1380299154
353-A,FraLotito,1200,"implementation;math",6,false,0,1381420370
426-A,FraLotito,800,"implementation",9,false,0,1398614714
100443-G,FraLotito,undefined,"",11,true,0,1494454267
100443-I,FraLotito,undefined,"",8,false,0,1494598721
100783-A,FraLotito,undefined,"",1,true,0,1495704267
101128-D,FraLotito,undefined,"",1,true,0,1495793285
100783-D,FraLotito,undefined,"",1,true,0,1495913465
847-C,FraLotito,1800,"constructive algorithms",2,true,0,1507908817
337-A,FraLotito,900,"greedy",1,true,0,1520950059
580-A,FraLotito,900,"brute force;dp;implementation",1,true,0,1520950349
25-E,cqbzlzmm,2200,"hashing;strings",4,true,0,1722157338
1721-E,cqbzlzmm,2200,"dfs and similar;dp;hashing;string suffix structures;strings;trees",2,true,0.3333333333333333,1722226019
808-G,cqbzlzmm,2300,"dp;strings",6,true,2.5,1722233613
600-E,cqbzlzmm,2300,"data structures;dfs and similar;dsu;trees",12,true,1.5,1722393614
962-F,cqbzlzmm,2400,"dfs and similar;graphs;trees",1,true,2,1723199245
9-A,cqbzlzmm,800,"math;probabilities",1,true,0,1723454415
1459-A,cqbzlzmm,800,"math;probabilities",2,true,1,1723455319
1195-E,cqbzlzmm,2100,"data structures;two pointers",6,true,1,1723621709
1428-F,cqbzlzmm,2400,"binary search;data structures;divide and conquer;dp;two pointers",2,true,1.4,1723625674
1000-F,cqbzlzmm,2400,"data structures;divide and conquer",10,true,0,1723714299
1401-E,cqbzlzmm,2400,"data structures;geometry;implementation;sortings",2,true,1.25,1724053585
453-A,cqbzlzmm,1600,"probabilities",2,false,0,1724228722
1768-A,cqbzlzmm,800,"greedy;math;number theory",2,true,0.6666666666666666,1726878985
375-A,cqbzlzmm,1600,"math;number theory",5,true,2,1726885101
1477-A,cqbzlzmm,1800,"constructive algorithms;math;number theory",6,true,3,1727182814
1244-C,cqbzlzmm,2000,"brute force;math;number theory",2,true,3.3333333333333335,1727185531
105336-K,cqbzlzmm,undefined,"",1,true,0,1727343212
105336-B,cqbzlzmm,undefined,"",3,true,0,1727343876
105336-L,cqbzlzmm,undefined,"",1,true,0,1727343304
105336-C,cqbzlzmm,undefined,"",5,false,0,1727360579
105336-D,cqbzlzmm,undefined,"",2,true,0,1727357427
105336-I,cqbzlzmm,undefined,"",1,true,0,1727359393
450-B,cqbzlzmm,1300,"implementation;math",4,true,4,1728025398
621-E,cqbzlzmm,2000,"dp;matrices",1,true,2,1728027996
821-E,cqbzlzmm,2100,"dp;matrices",1,true,3,1728031279
1117-D,cqbzlzmm,2100,"dp;math;matrices",2,true,5.333333333333333,1728032870
1182-E,cqbzlzmm,2300,"dp;math;matrices;number theory",1,false,0,1728037967
100923-C,cqbzlzmm,undefined,"",4,true,0,1728112258
2021-A,cqbzlzmm,800,"data structures;greedy;math;sortings",2,true,4.25,1728197166
2021-B,cqbzlzmm,1200,"brute force;greedy;math;number theory",7,true,4.5,1728199237
2021-C1,cqbzlzmm,1300,"constructive algorithms;greedy",5,true,2.5,1728200763
1927-F,cqbzlzmm,1900,"data structures;dfs and similar;dsu;graphs;greedy;implementation;sortings;trees",4,true,3.5,1731420187
1931-F,cqbzlzmm,1700,"combinatorics;dfs and similar;graphs",2,true,1.6666666666666667,1731418702
1131-D,cqbzlzmm,2000,"dfs and similar;dp;dsu;graphs;greedy",2,true,4.8,1731502926
949-C,cqbzlzmm,1900,"dfs and similar;graphs",2,true,5.5,1731505236
1093-D,cqbzlzmm,1700,"dfs and similar;graphs",5,true,6.5,1731567381
1268-B,cqbzlzmm,2000,"dp;greedy;math",1,true,8.333333333333334,1731568195
1354-E,cqbzlzmm,2100,"dfs and similar;dp;graphs",6,true,8,1731571333
741-C,cqbzlzmm,2600,"constructive algorithms;dfs and similar;graphs",2,false,0,1731572870
1012-B,cqbzlzmm,1900,"constructive algorithms;dfs and similar;dsu;graphs;matrices",1,false,0,1731574744
1375-G,cqbzlzmm,2800,"brute force;constructive algorithms;dfs and similar;graph matchings;graphs;trees",1,true,4.5,1731576062
852-D,cqbzlzmm,2100,"binary search;flows;graph matchings;shortest paths",3,true,0.5,1731590910
2031-A,cqbzlzmm,800,"constructive algorithms;dp;greedy;math",1,true,8.25,1731674600
2031-B,cqbzlzmm,900,"brute force;greedy;sortings",5,true,4.666666666666667,1731676242
2031-C,cqbzlzmm,1300,"constructive algorithms;math;number theory",1,true,8,1731677541
2031-D,cqbzlzmm,1700,"binary search;data structures;dfs and similar;dp;dsu;greedy;implementation;two pointers",1,true,6.25,1731679253
580-E,cqbzlzmm,2500,"data structures;hashing;strings",3,false,0,1731733831
1550-E,cqbzlzmm,2500,"binary search;bitmasks;brute force;dp;strings;two pointers",2,true,4.333333333333333,1735197974
311-E,cqbzlzmm,2300,"flows",2,true,1,1735201857
2063-A,cqbzlzmm,800,"math;number theory",1,true,10.5,1737547789
2063-B,cqbzlzmm,1100,"constructive algorithms;data structures;greedy;sortings",2,true,7.25,1737548398
2063-C,cqbzlzmm,1600,"brute force;data structures;dfs and similar;dp;graphs;greedy;sortings;trees",1,true,8.75,1737550774
321-E,cqbzlzmm,2600,"data structures;divide and conquer;dp",3,true,0,1737601077
833-B,cqbzlzmm,2200,"binary search;data structures;divide and conquer;dp;two pointers",5,true,7.6,1737602013
868-F,cqbzlzmm,2500,"divide and conquer;dp",5,true,10,1737603015
1527-E,cqbzlzmm,2500,"binary search;data structures;divide and conquer;dp",1,true,10,1737622405
643-C,cqbzlzmm,2400,"dp",1,true,18,1737634696
827-F,cqbzlzmm,3200,"data structures;dp;graphs;shortest paths",3,true,10.75,1738670243
1096-G,cqbzlzmm,2400,"divide and conquer;dp;fft",1,true,8.666666666666666,1738919180
528-D,cqbzlzmm,2500,"bitmasks;brute force;fft",6,false,0,1738999102
1430-C,cqbzlzmm,1000,"constructive algorithms;data structures;greedy;implementation;math",1,false,0,1739775747
1430-D,cqbzlzmm,1700,"binary search;data structures;greedy;two pointers",1,true,9.5,1739777698
1430-E,cqbzlzmm,1900,"data structures;greedy;strings",2,true,11.333333333333334,1739781225
1430-F,cqbzlzmm,2600,"dp;greedy",1,true,17.5,1739784857
915-E,cqbzlzmm,2300,"data structures;implementation;sortings",1,true,9,1740041817
2069-A,cqbzlzmm,800,"graph matchings;greedy",1,true,8.5,1740183691
2069-B,cqbzlzmm,1200,"greedy;matrices",7,true,9.5,1740185865
2069-C,cqbzlzmm,1500,"combinatorics;dp;greedy;two pointers",2,true,11.5,1740186787
2069-D,cqbzlzmm,1800,"binary search;greedy;hashing;strings;two pointers",2,true,8,1740189547
1671-E,cqbzlzmm,2100,"combinatorics;divide and conquer;dp;dsu;hashing;sortings;trees",3,true,7.714285714285714,1740993148
1800-G,cqbzlzmm,2200,"dfs and similar;hashing;implementation;trees",3,true,7.5,1741090978
1182-D,cqbzlzmm,2400,"constructive algorithms;dfs and similar;dp;hashing;implementation;trees",4,false,0,1741095916
